id,imdb_id,overview
66949,tt0077941,"Who was Moliere? He is known everywhere as one of the world's greatest playwrights. But who was he? Born Jean-Baptiste Poquelin in 1622, the son of a prosperous tapestry maker. His mother died when he was a boy. Growing up in the teeming streets of 17th century Paris, Jean Baptiste received a good Jesuit education and was fascinated by the street fairs and traveling carnivals that flourished in spite of the religious repression and hypocrisy of those cruel times. As a young man he joined the theatrical Bejart family to establish the Illustre-Theatre, which soon went bankrupt. The troupe reformed, found patronage, and went on the road for thirteen years, performing all over France. Poquelin developed his stagecraft adapting Commedia dell Arte plots to please brutalized peasants and cynical townspeople. He also married Madeline Bejart, the widowed daughter of the troupe's founder. Later he entered into a love affair with Mme Bejart's daughter, to the dismay of all. The troupe eventually returned to Paris and, on October 24, 1658, greatly impressed the 20-year old King Louis XIV, later to be called the Sun King. Moliere's life became bound up with the magnificent court at Versailles, and with its intrigues. He wrote, staged and acted in the plays now famous all over the world. He fought with his enemies and his friends, enjoyed success followed by failure, organized court festivities and defended himself against increasingly fanatic religious authorities. Above all, his theater was taken from life as his life was theatrical.—John Christopher <johnpickman@excite.com> revised by John Chapot"
128856,tt0407008,
154430,tt0437273,A story about a Finnish poet in the early 20th century under the Russian regime.
41427,tt1275778,"From the album of the same name by Claudio Baglioni the film tells the love story of two teenagers during the legendary seventies. A story so overwhelming as to compel the world to retreat, to step aside. Andrea and Giulia come from two different worlds, have different friends, and two different lives who call them strongly in opposite directions. Will they keep their love alive in spite of everything?"
140887,tt0024663,"Tom Wayne rescues Clancy, Renard and Schmidt in the Arabian desert and they join him in going after El Shaitan, a bad guy who is never seen as he tries to wipe out the Foreign Legion."
18120,tt1272013,"Emilio, a shy, not too brilliant pupil at a humble local secondary school, has always harbored a secret love for Natalia, the cutest, brightest girl in the class. On the last day of the school year, when he finally decides to declare his love, Natalia is awarded a scholarship to study Medicine at Oxford. It would seem that all is lost for Emilio, but his drop-out school-pals are not ready to throw in the towel. After faking qualifications and scholarships, this band of brainless nuts land in Oxford, causing havoc in the normally peaceful campus existence.—The Film Catalogue"
63615,tt1282257,"A law school professor witnesses his colleague, friend and mentor murder his own wife. Rather than turn his friend in, he disowns him, but the decision leads to more danger."
63764,tt0038476,"During World War I, the star-crossed affair of an underage French student with a woman engaged to a soldier."
147683,tt0078119,Two peasants from Transylvania go to America in order to meet their brother who had left Romania ten years earlier. They meet a prophet in the American state of Utah and eventually help the cause of justice in the villages where the prophet proves to be a dictator and exploiter of the coal miners over there.—Marian Radulescu <pgardiner@easynet.co.uk>
148435,tt0049607,
144089,tt0078799,"The adventures of the three Brad brothers continues when Traian falls in love with Anabelle, a singer. He wants to marry her, not knowing that she is helping someone to rob a bank."
147692,tt0136478,"The three Brad brothers want to return to Romania, but one of them gets married and they buy a farm. Unfortunately for them, the neighbors are Hungarian, and they become enemies."
62775,tt1404661,"Self-taught philosopher Konsta Pylkkänen guides a group of researchers through Finland's Kainuu wilderness in the hopes of having a ""sinistä ajatusta"", idea out of the blue. While firing upon a hybrid of the hazel grouse and the western capercaillie, kinds of birds, he indeed makes a scientific discovery."
120280,tt0048481,
117499,tt0062681,"The story of a doomed young love in a small, narrow-minded town."
174748,tt0087587,"The summer Lars turned 12, he still feels he should stay away from the girls, but the prostitute Lill teaches him to dance tango. He also have an uncle with a motorbike."
21245,tt0307076,This movie is about Iiris Vaara. She turns 30 and meets young director Marko. All dreams come true but does Marko share her dreams?
60677,tt1428457,"""Encounter"". Seven stories of women. Occasionally intersecting with each other in everyday situations. Parallel episodes of hope and abandonment, addiction and infidelity, but also friendship and trust."
173865,tt0109744,Successful nerd accidentally becomes involved in a bank robbery.
30695,tt1392744,New love convinces a struggling actor and dancer to enter a talent competition that could make him a superstar.
46341,tt0484064,"When his reckless brother, Abel (Asier Etxeandia), refuses to man up and take responsibility for getting young Muslim beauty Aisha (Nur Al Levi) pregnant, bashful Spanish butcher Cain (Javier Cifrián) agrees to marry the girl and act as the child's father. But the simple plan goes haywire when Cain discovers he must first adopt Aisha's Islamic faith as his own."
55403,tt0154750,"The film tells the story of two very popular Finnish singer/songwriters: Tapio Rautavaara (Tapio Liinoja) and Repe Helismaa (Martti Suosalo), who worked together until their relationship got frictious for a long time. The film covers the years from 1949 to 1965 (Helismaa's death). Since the film is based on real-life persons it also tells much about the change in Finland during those years and of course much about Finnish popular music.—T.J.A."
74714,tt0104105,"An American reporter finds himself in the middle of the 57-day battle of Dien Bien Phu in Vietnam between the French army and the Vietminh, which finally resulted in the defeat and surrender of the French forces and France's eventual withdrawal from Vietnam.—frankfob2@yahoo.com"
90930,tt0057536,"Strip-tease has a pleasing Paris setting and a convincing strip club atmosphere, where a roster of exotic dancers do their thing. Making the club atmosphere work is the animated Dany Saval, as a charming gossip and outspoken cheerleader for the art of the strip-tease. Berthe encourages Ariane to loosen up and enjoy what she's doing."
370264,tt0114198,"At the beginning of the 20th century, there's no Poland. Russia occupies Warsaw. Herling, a fearless provocateur, is captured when a bomb he sets off kills two children. Although he's racked by guilt, he manages to escape with a young prisoner, Adam. They reach Adam's home in Austrian-occupied Zakopane. Herling is taken in by Adam's friends, Andrzej Woyda and Marta Moraczewska. Sexual as well as political tensions arise. The men compete and feed their love of danger by rock climbing. A tragic accident is followed by Herling's receiving orders to kill again. How he resolves his feelings about Andrzej and Marta, staying true to the revolution, ends the film.—<jhailey@hotmail.com>"
157178,tt0113205,
72421,tt1270101,"In 1929, the 9 year old Polish Jew Marcel Reich-Ranicki is sent by his artistic mother to Berlin to study. Marcel loves the German literature and music, but in October 1938 the Nazis deport him to Poland. After the German invasion of Poland, Marcel tries to survive in the ghetto of Warschau. In 1942 his parents and brother are deported and exterminated in Treblinka, but Marcel and his wife Tosia can hide with a friendly Polish couple till in 1944 the Russian army liberates them. A civil servant in postwar communist Poland, Marcel falls in disgrace in 1949. In 1958 he flees to Germany, where in Frankfurt he will become a distinguished literary critic for the FAZ.—fa404748 (Belgium)"
71732,tt0454536,"In Liège, a group of men gathers every day in a café situated near the steel factory which once reigned supreme. They play cards in a warm atmosphere but that hardly masks their quiet desperation. All unemployed, either because they can't find work like Patrick or because they have been made redundant like Robert and Jean-Pierre, they try to forget their lot in the warm atmosphere of the place. One day, Marc, a newcomer, joins them. It soon appears that the man has just been released from prison and even if he is determined to go straight his presence suddenly inspires Robert : why not try criminality ?—Guy Bellinger"
116751,tt0184115,A young man from Orléans comes to Marseille hoping to find a job. Circumstances will drive him to become a robber.
65898,tt0076894,Divergent factions within the Catholic Church are plagued by internal ideological quarrels.
102527,tt1539107,"A documentary on Max Perttula, a sincere country boy, who wants to produce his own luxury perfumes and take the world by storm, starting from his home village."
148432,tt0050832,Pekka and Pätkä start a detective agency. Two businessmen give them a mission they think is impossible.
53364,tt1670632,On the one hand Claire and Leo love each other. But on the other hand they are totally different. The two of them try to find out if their relationship will last.
81414,tt1305897,
54354,tt0343624,A cleaning woman decides to sue the state for illegal discharge.
72375,tt0187457,Didier never knew that a wrong film review of a film which he did not bother to watch would land him in numerous troubles.
4880,tt0803047,Episodes about different stages of relationships: from flirtation to falling out of love.
55408,tt0328045,
145154,tt1238721,"Ballou , a documentary film, follows the talented Washington, DC, Ballou Senior High School Marching Band, as they overcome their negative environment filled with guns, drugs, and violence, and uplift the community with music, dedication, and personal sacrifice. This Washington, DC, High School Marching Band--from an impoverished community just 3 miles away from the US Capitol building--is on its way to the national band competition. They are a family with heart and soul that use hard work, discipline, and compassion to overcome all obstacles. Political leaders and celebrities including Rev. Jesse Jackson, Gen (ret) Colin Powell, Congressman John Lewis, Marion Barry, Denyce Graves, DC Mayor Adrian Fenty and Chuck Brown are featured in the film to show the importance of a small marching band in the lives the band members and in the community.—Patrei, Michael"
3962,tt0818108,"Bei einer wilden Mountainbike-Abfahrt rast der Jung-Reeder Achim in den Hartz-IV-Empfänger Willi. Bankangestellter Sven nimmt die beiden in seiner Hütte auf, kommt aber dann bei einem Saufgelage versehentlich ums Leben. Achim und Willi fühlen sich nicht ganz unschuldig und kommen auf eine geniale Idee: Sie möchten ihm seinen letzten Wunsch erfüllen. Dieser führt sie jedoch einmal quer durch Deutschland, in dem gerade die Fußball-WM tobt."
74183,tt0367204,"In order to conduct a study on the treatment of foreigners in Finland, a man borrows the identity of his immigrant friend."
55763,tt0111648,"The entire Finnish Defence Forces are laid off, excluding Sargeant First Class Körmy and their regiment. During this time Sweden shows interest in a piece of land in Finland, sparking conflict between the two nations."
55761,tt0105777,Finland is given the global nuclear launch codes and the enemy agents are trying to steal them. It's up to Sergeant First Class Körmy and his soldiers to protect the operation and the president.
55754,tt0103228,Soldiers of the third squad get their holidays denied so they devise a great plan. The discovery of the plan leads the headquarters to start an operation called Shhh.
148314,tt0125981,
289010,tt1105294,
55756,tt0100895,"The colonel's wife's tin pints need to be cleaned up, and Sergeant First Class Körmy tasks two privates to do so."
55759,tt0122787,"Körmy's regiment is ordered to move into the streets of Helsinki to take over Katajannokka in a field exercise. During the operation, the mafia is causing trouble for the officers."
177697,tt1288502,Vinz is in the middle of his Abitur and thus at the beginning of a new phase of life. He has what it takes to be a professional basketball player and his brother Georg can't imagine anything better for Vinz' life.
404479,tt0308090,"An American dream in Finland - a brand new car and a monthly income of 150,000 Euros. The worst recession period of Finnish history is over but unemployment is decreasing slowly. The spectacular financial growth gained by the Finnish Nokia doesn't reach everyone. Viljo and Kaisu Mikkonen together with 30,000 other Finnish small entrepreneurs lost everything they owned during the downswing, and return to working-life is not easy. An American network marketing company enters Finland and starts recruiting members to their lists. The work itself is incredibly easy: use the company's natural products, recommend them to your friends and families, and you can have everything you have ever dreamed about! Viljo and Kaisu join the network and start to work. They use the company's products and travel around to promote them - extra nutrients, soy products, candy with nutritive values of salad, and special tooth-paste for sore throats. They receive a reward for every new member they recruit. The first aim for them is the bonus promised by the company - a free car.—Anonymous"
55166,tt0194026,"Two men, who both have tried to commit a suicide, decide to found a ""Let's do it together""-suicide association to help the self-destructive people to succeed in their goal. Soon they have a bus load of candidates and together they start a bus tour in order to find a suitable place for the mass suicide. The trip takes them from Finland via Norway to the Central Europe. And finally on the verge - is life worth dying for?—T.J.A."
230680,tt0366808,"The single package-delivery woman Dora lives a somewhat reclusive life in a high-rise in Leipzig and gets through everyday life with her dry sense of humor. But her quiet, well-ordered life spins out of control when she has to hide her mysteriously fascinating Polish neighbor Jola - who believes to have accidentally killed someone. Dora is hesitant at first to take her in, but she cannot seem to shake her fascination with Jola. Dora's trust in the direct, impulsive woman grows - Jola seems to ask exactly those questions no one else dares to ask. When Dora finds out that the accusations against Jola have been lifted, she lies about the status of the police investigation in order to keep her Polish neighbor for herself.—Chris"
92465,tt0281078,"A sleazy sex comedy about a blind man who wants to become a life guard, his friend with a tiny willy, and three beautiful models who all meet at the sloppy camping ground run by a homophobic manager (ex WWF wrestler Tony Halme)."
105287,tt0278069,"A documentary about the band ""No smoking orchestra"""
132227,tt1284509,"The history of the Argentine railways, from 1857 until the crisis of the current transport system. The closing of branches of the railway lines turned towns whose main source of work was the train into ghost towns. The privatization of the lines caused the dismissal of tens of thousands of workers as well as the deterioration of public service, causing in turn the increase of motor transport and the multiplication of automobile accidents."
72419,tt1315582,"Sarah, tempted by drugs but trying to get her life in order, breaks up with her coke-snorting boyfriend and falls in love with a sweet-natured photographer. Dr. Frick himself, married and the father of a terminally ill child, succumbs to the charms of a strong, self-assured woman. With her, Frick finds a welcome relief from his all-consuming role as the dedicated caretaker of his daughter, his patients, and his marriage. Each of them is on the verge of a major change, each of them ready to head off in a new direction and take the risk of burning themselves on love. What remains is a search for love and fulfillment that a stroke of fate can push into a surprising new direction at any second."
434973,tt0189102,"Two 9-year-old boys, Jontti and Länki, grow up in a Finnish seaside town in the 1960s. Länki's biggest dream is to run away on a ship to the sea where his father is rumoured to have died. Jontti too must discover that his father is not what he appears to be. When his dad moves away with another woman, Jontti is determined to win him back.—Markku Kuoppamäki"
86126,tt0291507,"A taxi driver is given a difficult choice from 2 small time crooks: drive them around while they rob, or get locked up in the trunk."
62614,tt1382722,"The life of a heroine. The life and work of Hella Wuolijoki. A poet, spy and millionaire, she turned into an internationally acclaimed businesswoman, politician and playwright, who collaborated with Europe's leading writers such as Bertolt Brecht and Maxim Gorky, but faced the harshness of a changing world as the Finnish, Soviet and British secret services focus on her life, family and work."
61121,tt0848577,"In the early 1900s, emigrant Hanna returns from Colorado to Finland. In America she was known as Dollar-Hanna, but in Finland she has to endure the Civil War and live through the prohibition. Hanna's independent spirit will guide her."
46770,tt0094076,"The movie starts while Floreal, the main protagonist, was being released from the prison when the military coup ended in 1983. He is estranged to his former life because of his last few years in prison and especially discovering his wife has cheated on him soured their relation. He is not sure if he wants to go back to his old life and family. Wandering through the night his old friend ""El-Negro"" appears in the dark. He announces that he was assassinated during the military coup and he is a dead man now. But he has a special mission this night and he is back for this special occasion: To help Floreal catch up fast and face with his life and his time in prison. El-Negro helps him to watch through the important events happened in his absence. He confronts some people of importance to him as he wanders around through the night while his wife is waiting for him anxiously thinking he might never come back. During the long night El-Negro helps him to get past with his anger, makes him to understand the difficulties in such a controversial time and how military coup crushes people's lives and even killing a some of them relentlessly. Finally during the dawn, El-Negro announces that he is ready to go on with his life now and he must be back. Floreal figures that he must be strong and continue his life where he left off like his coup stricken country.—Kerem ERSOY kerem@sibernet.com.tr"
74878,tt0059491,"Three petty criminals get a tip for a great coup with lots of money in it. Unfortunately they lack the starting funds to buy the required welding torch. So they persuade their successful colleague Alphonse to join their team. But the well thought-out coup fails, and Alphonse is the only one of them who ends up in jail for several years. When he's released, he's out for revenge.—Tom Zoerner <Tom.Zoerner@informatik.uni-erlangen.de>"
162374,tt1509842,"This is not the way it was supposed to happen. Like every other morning, Christian Echeveria, huissier, should have been able to levy his daily distress in this Parisian suburb, before going back to his comfortable home. But that's not what destiny had planned for him, as he'll get to understand it when Salem Atelhadj, 17, takes him a hostage, under his father's desperate eyes, in the tower's twelfth floor which will soon be surrounded by policemen and anti-terrorists squads.—Amélie Vrla"
145594,tt0380311,"Just Santos, cabaret actor with a talent for imitation, receives the offer of a role in a movie that could change his life and his family."
31337,tt0780002,An episodic comedy that follows the lives of four men living in Vienna.
79362,tt1714110,"Summer 1780: On the way to Salzburg, Emanuel Schikaneder's theatre group gets held up in a small mountain village on the Austrian border due to a missing performance permit. In this village a dispute between mine owner Paccoli and the rebelling mine workers is escalating. The situation immediately inspires Schikaneder with the idea for a new play, but before long not only the mineworkers but also Schikaneder's performers take to the picket line because Schikaneder seems to care more about spending time with high society than his actors, whom the Landlord refuses to feed until Schikaneder pays the outstanding bill. A hastily-put-together open-air performance by the troupe leads to major disruption..—Klaus Wolfertstetter"
247500,tt1177179,"The action takes place in a typical French town in the early sixties, at the end of the Algerian war. In a fit of criminal madness, a married, affluent and respected town-citizen named Gregoire Duval kills a young woman who spurns his advances. As no one witnesses him committing this crime, he chooses to remain silent while the girl's boyfriend, a young Algerian farm worker, is wrongly convicted. In a strange twist of fate, the killer becomes one of the jurors of the trial and suddenly does everything in his power to defend the wrongly accused young man.—Stephanie T. Hunt"
85883,tt0279083,"À la veille de ses derniers instants, une femme se remémore son passé d'alcoolique. Elle revoit toute sa jeunesse dont une cuite qui, à 46 ans, lui a coûté tout ce qu'elle avait. «La solitude, le vieillissement sont des thèmes qui s'imposent à moi, sous une forme ou l'autre. Quant à l'alcoolisme, il me fascine à cause de la révolte qu'il sous-tend, et me révolte par le malheur qu'il crée autour de lui.» (Bernard Émond)."
399229,tt0236398,Finland countryside. A father and a son.
86727,tt0075885,"A dying mariner, full of regret, is looking for his longtime colleague somewhere on the high seas."
61361,tt0339482,An obese Police Inspector traumatized by a childhood incident falls in love with a murder suspect.
362151,tt0095764,"Lumberjacking is a second part of saga about young author, Kalle Päätalo. It's a story about growing up and becoming a storyteller in hard times when their father was in the forced labour camp. He was a lunatic."
78999,tt1205541,"VIRTUAL JFK investigates one of the most debated ""what if"" scenarios in the history of U.S. foreign policy: What would President John F. Kennedy have done in Vietnam if he had not been assassinated in 1963, and had he been re-elected in 1964? The film employs what Harvard historian Niall Ferguson calls ""virtual history,"" assessing the plausibility of counterfactuals - ""what ifs"" - and the outcomes they might have produced. The heart of the film deals with the question: Does it matter who is president on issues of war and peace?—Anonymous"
116019,tt1941668,"""The Battle of Nasilinna 1918"" - depicting the Finnish Civil War from the White army's point of view. Lieutenant Melin's soldiers mission is to penetrate the heart of the city and overtake the Nasilinna Palace from the Reds."
458428,tt1542928,"Heidi Cannabis returns in order to recover part of a loot from the drug gang ""The Nice Neighborhood"". Heidi discovers the betrayal and murder by the rest of the gang leading to unexpected surprises and revenge."
110491,tt2067003,"THE MANZANAR FISHING CLUB is a feature length documentary that chronicles the WWII internment of Japanese-American from a unique perspective: through the eyes of those who defied the armed guards, barbed wire and searchlights to fish for trout in the surrounding waters of the Eastern Sierra. By emphasizing the evacuees' personal stories it is the first internment film to go beyond the confinement itself, and instead highlight values - courage, responsibility and cooperation - that enable the human spirit. Interviews with noted experts provide new insights in to the social political backdrop of the internment. This is the untold story of those who refuse to knuckle under and risked it all to go fishing just like other ordinary Americans.—Richard"
79034,tt0465160,"Mirko and Stefan, Serbian refugees, move to the French Riviera. There they meet Maguy who lives in a luxurious mansion up the hill above Cannes with an odd group of friends."
35623,tt1043869,"A suicide bomber becomes dependent on the kindness of strangers when his explosives won't detonate, giving him time to meet some of the people he's targeting."
112973,tt0114132,"Kids' comedy with all the clichés. Six boys (hero, pudgy, dumb, romeo, etc), reluctantly sent to summer camp, are grouped together in a ramshackle hut, and instantly identified as losers and outcasts by the overconfident camp bullies, who target gorgeous Tiffany (Jakub) as their Lothario's girlfriend. They set out to make everyone's life miserable as they impose their authority on the other kids and ineffective counselors alike. Andy, the good-guy hero, of course has a crush on Tiffany, but hasn't a clue how to approach her. Gradually, the nice guys gain the edge over the bullies, by honest endeavor and standing up for themselves - and in doing so, win over the other kids, even Tiffany. Until the bullies frame them and have them expelled.—Cynan Rees <cynanrees@hotmail.com>"
